user_id,edad,genero,tiempo_subscripcion,uso_mensual,numero_dispositivos,calificacion_servicio,monto_pago,metodo_pago,abandono
1,56,Masculino,3,30.2,2,4,25.39,PayPal,0
2,69,Femenino,34,38.0,3,4,41.51,Tarjeta,0
3,46,Masculino,19,20.5,4,5,45.87,PayPal,0
4,32,Femenino,28,17.0,5,3,48.27,Transferencia,0
5,60,Masculino,23,4.0,5,2,9.45,PayPal,1
6,25,Masculino,40,35.8,3,1,44.58,Transferencia,0
7,38,Femenino,49,10.6,5,4,15.13,PayPal,0
8,56,Masculino,45,3.5,1,2,22.88,PayPal,0
9,36,Femenino,7,22.0,5,4,20.55,Transferencia,0
10,40,Femenino,41,34.0,1,4,35.38,PayPal,0
11,28,Masculino,12,16.9,3,4,31.91,Tarjeta,0
12,28,Masculino,14,31.5,3,2,9.91,Tarjeta,0
13,41,Masculino,46,33.6,1,5,40.23,Transferencia,0
14,70,Masculino,15,18.7,5,2,24.78,Transferencia,1
15,53,Masculino,3,24.0,3,2,5.1,Transferencia,1
16,57,Femenino,15,21.8,3,3,23.65,Tarjeta,0
17,41,Masculino,51,37.6,1,3,28.23,Transferencia,0
18,20,Femenino,24,29.3,3,5,8.1,Transferencia,0
19,39,Masculino,52,37.1,5,3,11.8,Tarjeta,0
20,70,Masculino,46,9.6,3,5,49.71,Transferencia,0
21,19,Masculino,8,13.1,1,4,44.2,PayPal,0
22,41,Femenino,5,3.8,5,4,11.0,PayPal,1
23,61,Masculino,51,20.5,4,2,31.11,PayPal,0
24,47,Femenino,4,35.1,1,4,22.07,PayPal,0
25,55,Femenino,14,13.7,4,3,29.47,Tarjeta,1
26,19,Femenino,16,6.0,3,1,26.17,PayPal,1
27,38,Masculino,20,3.7,5,2,7.17,PayPal,1
28,50,Femenino,24,18.5,3,5,19.19,Tarjeta,0
29,29,Masculino,6,7.4,5,4,10.65,Tarjeta,1
30,39,Femenino,55,14.5,2,2,27.0,Tarjeta,0
31,61,Masculino,57,33.0,3,2,45.83,PayPal,0
32,42,Femenino,31,16.0,3,2,49.8,Transferencia,0
33,66,Masculino,6,24.8,3,4,47.49,Transferencia,0
34,44,Masculino,35,20.6,1,5,49.36,PayPal,0
35,59,Masculino,15,29.0,5,2,5.69,Transferencia,0
36,45,Femenino,29,7.1,5,2,37.83,Transferencia,0
37,33,Femenino,3,36.9,5,2,17.28,Tarjeta,0
38,32,Masculino,11,26.1,1,4,43.95,PayPal,1
39,64,Femenino,3,11.6,5,3,41.62,PayPal,0
40,68,Femenino,28,5.8,3,5,24.07,Transferencia,0
41,61,Femenino,10,6.8,4,2,26.3,PayPal,1
42,69,Femenino,50,31.5,2,2,16.93,Tarjeta,0
43,20,Femenino,33,23.9,5,2,18.0,Transferencia,0
44,54,Femenino,48,15.8,1,4,49.15,Tarjeta,0
45,68,Femenino,16,14.0,1,3,45.0,Transferencia,0
46,24,Masculino,59,34.4,5,2,13.63,PayPal,0
47,38,Masculino,10,35.1,4,2,17.4,Tarjeta,0
48,26,Femenino,33,23.7,5,4,9.89,Tarjeta,0
49,56,Masculino,36,21.5,1,5,49.5,Tarjeta,0
50,35,Masculino,3,32.8,2,5,45.82,Transferencia,1
51,21,Masculino,5,30.2,4,3,29.84,Transferencia,1
52,42,Femenino,12,16.6,5,5,36.18,Tarjeta,0
53,31,Femenino,57,4.2,2,2,38.66,Tarjeta,0
54,67,Femenino,44,31.0,5,4,14.17,Transferencia,0
55,26,Femenino,13,7.6,4,2,47.06,PayPal,1
56,43,Femenino,24,1.6,1,2,28.7,PayPal,1
57,70,Masculino,44,33.9,4,3,9.16,Tarjeta,0
58,19,Femenino,57,23.6,3,5,22.87,PayPal,0
59,37,Masculino,32,35.8,5,5,32.07,Transferencia,0
60,45,Femenino,16,19.9,2,5,20.88,PayPal,0
61,64,Masculino,32,37.1,2,2,36.46,Transferencia,0
62,24,Femenino,45,14.8,4,4,44.69,Tarjeta,0
63,61,Femenino,37,29.3,4,4,39.74,PayPal,0
64,25,Femenino,56,12.7,4,2,33.92,PayPal,0
65,64,Femenino,36,1.0,2,1,28.05,Transferencia,1
66,52,Femenino,21,15.8,1,2,16.45,Transferencia,1
67,31,Femenino,47,29.8,2,5,25.47,Tarjeta,0
68,34,Masculino,12,6.9,1,2,18.18,Tarjeta,1
69,53,Femenino,51,20.7,4,1,47.03,Transferencia,0
70,67,Masculino,21,9.3,3,2,45.83,Transferencia,0
71,57,Femenino,60,3.9,2,5,12.01,Tarjeta,0
72,21,Masculino,51,25.1,4,3,42.02,Transferencia,0
73,19,Masculino,21,38.1,2,4,36.63,PayPal,0
74,23,Masculino,43,13.1,4,1,48.88,Tarjeta,0
75,59,Masculino,53,23.6,2,3,25.85,PayPal,0
76,21,Masculino,6,38.2,5,4,37.5,Transferencia,0
77,46,Masculino,9,26.4,2,3,28.3,Tarjeta,1
78,35,Femenino,1,27.3,5,2,8.12,Tarjeta,0
79,43,Masculino,12,8.0,1,2,7.1,Tarjeta,1
