CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,38,66,7
2,Female,49,93,14
3,Male,40,44,79
4,Male,50,120,7
5,Male,20,65,9
6,Female,35,95,48
7,Male,42,147,72
8,Male,59,43,59
9,Male,48,146,87
10,Female,20,88,93
11,Male,57,31,82
12,Male,63,98,95
13,Male,41,83,94
14,Male,67,48,39
15,Female,49,20,99
16,Male,64,67,18
17,Female,39,140,59
18,Female,40,57,17
19,Female,19,129,14
20,Male,44,125,31
21,Female,59,94,24
22,Male,19,109,99
23,Female,43,132,60
24,Female,34,22,45
25,Female,57,146,98
26,Female,50,118,3
27,Female,26,146,37
28,Female,60,39,43
29,Female,65,110,40
30,Female,56,107,90
31,Male,46,75,55
32,Male,59,136,87
33,Female,43,65,39
34,Female,52,35,15
35,Female,67,19,4
36,Male,42,106,93
37,Female,41,75,86
38,Male,30,36,25
39,Male,24,84,13
40,Male,53,15,82
41,Male,62,147,33
42,Male,37,26,16
43,Female,18,104,42
44,Female,25,60,66
45,Female,63,48,55
46,Female,33,92,99
47,Female,31,59,42
48,Male,29,87,34
49,Female,68,40,30
50,Female,40,61,13
51,Male,32,135,13
52,Female,45,70,18
53,Male,51,108,32
54,Female,19,121,96
55,Male,49,77,99
56,Female,40,62,39
57,Female,39,75,46
58,Male,68,95,29
59,Male,42,40,62
60,Male,39,50,93
61,Male,39,15,62
62,Male,66,22,57
63,Male,69,127,16
64,Male,59,113,56
65,Male,23,61,10
66,Female,32,141,30
67,Female,60,70,25
68,Male,54,28,84
69,Female,50,42,5
70,Female,25,92,65
71,Female,61,144,94
72,Female,61,123,49
73,Male,22,28,3
74,Female,56,70,45
75,Male,21,129,14
76,Female,23,21,30
77,Female,62,17,68
78,Female,49,125,18
79,Male,69,121,62
80,Female,47,32,37
81,Male,64,52,25
82,Female,52,129,48
83,Male,57,29,65
84,Female,69,133,53
85,Male,33,42,79
86,Male,30,53,73
87,Female,67,31,15
88,Male,59,100,49
89,Female,47,140,88
90,Female,36,58,68
91,Female,34,39,12
92,Female,36,27,59
93,Female,45,39,37
94,Female,43,82,61
95,Female,54,81,43
96,Female,43,123,70
97,Female,40,125,39
98,Female,26,125,56
99,Female,29,48,63
100,Male,18,125,46
101,Male,18,22,88
102,Female,64,127,11
103,Female,51,97,62
104,Female,49,56,77
105,Female,65,115,98
106,Female,42,20,25
107,Female,57,40,71
108,Female,62,78,52
109,Female,18,73,4
110,Male,33,123,59
111,Female,56,135,72
112,Male,22,47,20
113,Female,39,35,93
114,Female,46,84,63
115,Male,20,126,54
116,Female,29,18,74
117,Male,43,108,98
118,Female,33,89,57
119,Female,68,76,90
120,Male,54,108,41
121,Female,39,109,3
122,Male,46,69,6
123,Female,31,145,5
124,Male,45,45,5
125,Male,22,54,54
126,Female,64,50,47
127,Female,66,20,87
128,Male,47,80,49
129,Female,63,89,9
130,Female,69,18,99
131,Female,22,93,20
132,Male,29,148,61
133,Male,33,132,35
134,Male,43,127,50
135,Male,43,108,82
136,Male,65,76,62
137,Male,38,93,17
138,Male,56,40,88
139,Male,53,58,3
140,Male,50,147,32
141,Female,47,84,99
142,Male,54,132,13
143,Female,40,82,89
144,Female,27,33,73
145,Female,22,34,68
146,Male,53,127,14
147,Male,51,61,98
148,Male,69,15,11
149,Male,48,104,56
150,Female,27,78,67
151,Male,36,52,92
152,Male,49,51,29
153,Male,18,140,9
154,Male,22,114,67
155,Male,62,91,25
156,Female,21,17,98
157,Male,33,148,76
158,Female,41,24,42
159,Male,33,19,9
160,Female,19,144,79
161,Male,66,27,40
162,Male,45,144,25
163,Female,49,98,5
164,Female,44,79,11
165,Female,37,77,59
166,Male,41,115,98
167,Female,29,87,88
168,Male,67,31,79
169,Male,52,23,38
170,Female,50,52,72
171,Female,50,108,5
172,Male,68,109,48
173,Male,60,63,90
174,Female,54,83,18
175,Female,29,76,70
176,Female,20,92,37
177,Male,18,131,60
178,Male,50,134,48
179,Male,57,90,77
180,Male,27,49,28
181,Male,60,15,69
182,Male,61,54,77
183,Female,46,78,81
184,Male,30,74,40
185,Male,29,78,45
186,Male,48,107,96
187,Female,63,86,62
188,Male,19,25,93
189,Male,68,119,58
190,Female,67,28,67
191,Male,52,74,56
192,Male,40,44,40
193,Male,34,49,98
194,Male,43,19,40
195,Male,25,97,91
196,Female,46,137,77
197,Female,43,92,33
198,Female,27,76,6
199,Male,43,146,88
200,Male,51,103,19
201,Male,68,56,80
202,Female,58,103,40
203,Male,24,54,92
204,Male,21,86,97
205,Female,67,53,59
206,Male,62,118,59
207,Female,28,28,48
208,Female,46,46,41
209,Female,53,139,13
210,Male,42,111,45
211,Male,38,37,89
212,Male,53,77,53
213,Male,27,67,42
214,Male,54,118,63
215,Male,26,118,27
216,Male,41,53,38
217,Female,52,148,60
218,Male,66,81,7
219,Female,52,149,5
220,Male,65,56,45
221,Male,53,29,58
222,Male,35,125,31
223,Female,66,47,23
224,Female,56,52,42
225,Female,49,111,10
226,Female,41,47,32
227,Male,40,100,53
228,Female,49,80,30
229,Male,54,24,39
230,Male,29,19,31
231,Female,66,137,82
232,Female,30,88,2
233,Female,40,111,78
234,Female,42,132,77
235,Female,52,52,93
236,Female,58,61,12
237,Female,47,123,39
238,Female,34,29,66
239,Male,66,19,96
240,Female,37,61,13
241,Female,65,82,46
242,Male,42,90,27
243,Female,39,144,17
244,Male,30,109,95
245,Male,36,129,98
246,Female,66,50,60
247,Male,53,40,64
248,Male,29,57,88
249,Male,58,41,35
250,Male,36,83,70
251,Female,29,25,83
252,Male,26,88,30
253,Female,24,118,71
254,Male,45,52,74
255,Male,31,148,96
256,Male,48,37,98
257,Male,69,61,63
258,Female,36,104,28
259,Female,64,60,60
260,Male,33,121,79
261,Male,22,118,94
262,Female,52,125,37
263,Male,29,118,93
264,Male,42,74,22
265,Male,69,114,68
266,Female,38,82,20
267,Female,53,147,96
268,Female,40,134,68
269,Male,33,51,91
270,Male,56,86,64
271,Female,62,141,17
272,Female,59,120,12
273,Female,56,106,22
274,Female,31,45,17
275,Male,48,136,10
276,Female,22,65,65
277,Male,52,43,22
278,Female,40,54,90
279,Male,46,55,82
280,Female,60,25,50
281,Female,28,15,14
282,Female,35,60,64
283,Female,64,115,47
284,Male,29,104,29
285,Female,26,124,76
286,Male,27,71,36
287,Male,61,15,99
288,Male,34,77,52
289,Male,55,69,76
290,Female,24,129,7
291,Male,63,67,29
292,Male,30,71,11
293,Male,57,131,33
294,Female,59,49,6
295,Female,26,77,79
296,Female,67,39,32
297,Female,44,104,51
298,Male,19,89,75
299,Male,22,52,58
300,Female,46,144,87
301,Male,54,149,26
302,Male,55,105,98
303,Male,36,31,46
304,Female,25,142,98
305,Female,65,122,29
306,Male,62,39,4
307,Female,18,102,81
308,Female,39,43,99
309,Female,69,77,13
310,Female,34,128,39
